2021-03-19 13:32:30   {'速度': '50KM/H', '电流': '1A', '油门': '1%', '发动机转速': '60r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:29.842416', '电压': '1', 'state': True}
2021-03-19 13:34:11   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:11.243515', '电压': '1', 'state': True}
2021-03-19 13:34:12   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:12.247418', '电压': '1', 'state': True}
2021-03-19 13:34:13   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:13.251523', '电压': '1', 'state': True}
2021-03-19 13:34:14   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:14.258128', '电压': '1', 'state': True}
2021-03-19 13:34:16   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:15.259581', '电压': '1', 'state': True}
2021-03-19 13:34:17   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:16.266111', '电压': '1', 'state': True}
2021-03-19 13:34:18   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:17.269551', '电压': '1', 'state': True}
2021-03-19 13:34:19   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:18.272662', '电压': '1', 'state': True}
2021-03-19 13:34:20   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:19.279164', '电压': '1', 'state': True}
2021-03-19 13:34:21   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:20.284872', '电压': '1', 'state': True}
2021-03-19 13:34:22   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:21.290815', '电压': '1', 'state': True}
2021-03-19 13:34:23   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:22.297404', '电压': '1', 'state': True}
2021-03-19 13:34:24   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:23.298887', '电压': '1', 'state': True}
2021-03-19 13:34:25   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:24.300731', '电压': '1', 'state': True}
2021-03-19 13:34:26   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:25.304150', '电压': '1', 'state': True}
2021-03-19 13:34:27   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:26.309561', '电压': '1', 'state': True}
2021-03-19 13:34:28   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:27.314077', '电压': '1', 'state': True}
2021-03-19 13:34:29   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:28.315850', '电压': '1', 'state': True}
2021-03-19 13:34:30   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:29.321236', '电压': '1', 'state': True}
2021-03-19 13:34:31   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:30.326650', '电压': '1', 'state': True}
2021-03-19 13:34:32   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:31.332081', '电压': '1', 'state': True}
2021-03-19 13:34:33   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:32.337478', '电压': '1', 'state': True}
2021-03-19 13:34:34   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:33.342009', '电压': '1', 'state': True}
2021-03-19 13:34:35   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:34.344843', '电压': '1', 'state': True}
2021-03-19 13:34:36   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:35.346286', '电压': '1', 'state': True}
2021-03-19 13:34:37   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:36.347378', '电压': '1', 'state': True}
2021-03-19 13:34:38   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:37.351384', '电压': '1', 'state': True}
2021-03-19 13:34:39   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:38.352965', '电压': '1', 'state': True}
